"(3, 3, 6, 9, 10, 'os', 1)","[('425221', 88.76594436760664), ('92419', 66.66666666666674), ('923', 32.323232323232325), ('9363', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 9, 5, 10, 'os', 1)","[('269641', 88.76594436760664), ('92231', 66.66666666666674), ('923', 32.323232323232325), ('10007', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 9, 10, 10, 'ws', 1)","[('233567', 88.88888888888893), ('93897', 66.66666666666679), ('2375', 95.77254021698484), ('9725', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 6, 5, 10, 'ws', 1)","[('232865', 88.88888888888893), ('140400', 66.66666666666679), ('2375', 95.77254021698484), ('95279', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 5, 10, 10, 'os', 1)","[('460975', 88.76594436760664), ('91877', 66.66666666666674), ('923', 32.323232323232325), ('10039', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 5, 6, 10, 'ws', 1)","[('230463', 88.88888888888893), ('92083', 66.66666666666679), ('2375', 95.77254021698484), ('40553', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 8, 5, 10, 'os', 1)","[('390657', 88.76594436760664), ('92123', 66.66666666666674), ('923', 32.323232323232325), ('10007', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 6, 7, 10, 'os', 1)","[('425221', 88.76594436760664), ('92419', 66.66666666666674), ('923', 32.323232323232325), ('19899', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 8, 10, 10, 'os', 1)","[('390657', 88.76594436760664), ('92123', 66.66666666666674), ('923', 32.323232323232325), ('10039', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 6, 5, 10, 'os', 1)","[('425221', 88.76594436760664), ('92419', 66.66666666666674), ('923', 32.323232323232325), ('10007', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 6, 10, 10, 'os', 1)","[('425221', 88.76594436760664), ('92419', 66.66666666666674), ('923', 32.323232323232325), ('10039', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 5, 9, 10, 'ws', 1)","[('230463', 88.88888888888893), ('92083', 66.66666666666679), ('2375', 95.77254021698484), ('19459', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 5, 7, 10, 'os', 1)","[('460975', 88.76594436760664), ('91877', 66.66666666666674), ('923', 32.323232323232325), ('19899', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 5, 6, 10, 'os', 1)","[('460975', 88.76594436760664), ('91877', 66.66666666666674), ('923', 32.323232323232325), ('11369', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 6, 10, 10, 'ws', 1)","[('232865', 88.88888888888893), ('140400', 66.66666666666679), ('2375', 95.77254021698484), ('9725', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 7, 8, 10, 'ws', 1)","[('233384', 88.88888888888893), ('137506', 66.66666666666679), ('2375', 95.77254021698484), ('37669', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 8, 6, 10, 'ws', 1)","[('235769', 88.88888888888893), ('91912', 66.66666666666679), ('2375', 95.77254021698484), ('40553', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 6, 7, 10, 'ws', 1)","[('232865', 88.88888888888893), ('140400', 66.66666666666679), ('2375', 95.77254021698484), ('9409', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 6, 6, 10, 'ws', 1)","[('232865', 88.88888888888893), ('140400', 66.66666666666679), ('2375', 95.77254021698484), ('40553', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 9, 8, 10, 'ws', 1)","[('233567', 88.88888888888893), ('93897', 66.66666666666679), ('2375', 95.77254021698484), ('37669', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 5, 5, 10, 'ws', 1)","[('230463', 88.88888888888893), ('92083', 66.66666666666679), ('2375', 95.77254021698484), ('95279', 98.76543209876571), ('1279', 83.3333333333333)]"
"(3, 3, 9, 10, 10, 'os', 1)","[('269641', 88.76594436760664), ('92231', 66.66666666666674), ('923', 32.323232323232325), ('10039', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 10, 6, 10, 'os', 1)","[('310017', 88.76594436760664), ('92459', 66.66666666666674), ('923', 32.323232323232325), ('11369', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 8, 9, 10, 'os', 1)","[('390657', 88.76594436760664), ('92123', 66.66666666666674), ('923', 32.323232323232325), ('9363', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 6, 6, 10, 'os', 1)","[('425221', 88.76594436760664), ('92419', 66.66666666666674), ('923', 32.323232323232325), ('11369', 32.92181069958847), ('559', 33.33333333333335)]"
